island_code,atoll,island_name
LD0499,Dhaalu,Kudahuvadhoo
LD0500,Noonu,Lhohi
LD0501,Alifu Alifu,Thoddoo
LD0502,Baa,Gemendhoo
LD0503,Dhaalu,Thilabolhufushi
LD0504,Thaa,Kan'doodhoo
LD0505,Gaafu Dhaalu,Uherehaa
LD0506,Seenu,Kan'diheragan'du
LD0507,Haa Alifu,Utheemu
LD0508,Haa Alifu,Kan'daalifinolhu
LD0509,Raa,Kandhoomeehunge Lhaan'bugali
LD0510,Lhaviyani,Kurendhoo
LD0511,Gaafu Dhaalu,Vaareyadhuvaa
LD0512,Noonu,Raalhulaakolhu
LD0513,Alifu Dhaalu,Fenfushi
LD0514,Gaafu Alifu,Dhiyadhoo
LD0515,Seenu,Kudamaahera
LD0516,Kaafu,Fihaalhohi
LD0517,Lhaviyani,Olhuvelifushi
LD0518,Baa,Kamadhoo
LD0519,Gaafu Dhaalu,Kureikeymaahuttaa
LD0520,Baa,Fehendhoo
LD0521,Dhaalu,Gemendhoo
LD0522,Gaafu Dhaalu,Femunaidhoo
LD0523,Meemu,Seedheehuraa
LD0524,Kaafu,En'boodhoofinolhu
LD0525,Shaviyani,Milandhoo
LD0526,Seenu, 
LD0527,Kaafu,Medhufinolhu
LD0528,Haa Alifu,Berinmadhoo
LD0529,Alifu Dhaalu,Tholhifushi
LD0530,Dhaalu,Uhdhoo
LD0531,Meemu,Mulah
LD0532,Gaafu Dhaalu,Dhiyanigillaa
LD0533,Thaa,Kaaddoo
LD0535,Baa,Maaddoo
LD0536,Kaafu,Asdhoo
LD0537,Gaafu Dhaalu,Kodurataa
LD0538,Laamu,Hulhimendhoo
LD0539,Thaa,Dhonanfushi
LD0540,Gaafu Alifu,Hinaamaagalaa
LD0541,Haa Dhaalu,Kumundhoo
LD0542,Gaafu Alifu,Galamedhuvaa
LD0543,Gaafu Alifu,Boduhuttaa
LD0544,Baa,Kudadhoo
LD0545,Alifu Dhaalu,Mahibadhoo
LD0547,Lhaviyani,Dhiffushi
LD0548,Haa Alifu,Manafaru
LD0549,Kaafu, 
LD0550,Dhaalu, 
LD0551,Shaviyani,Narudhoo
LD0552,Gaafu Dhaalu,Farehalehuttaa
LD0554,Meemu,Boahuraa
LD0555,Laamu,Hendha
LD0556,Thaa,Maalefushi
LD0557,Gaafu Dhaalu,Madaveli
LD0558,Kaafu,Gulhigaathuhuraa
LD0559,Noonu,Maavahdhoo
LD0560,Noonu,Maafaru
LD0561,Gaafu Dhaalu,Bodeinsa
LD0562,Shaviyani,Dholhiyadhoo
LD0563,Haa Alifu,Kelaa
LD0564,Raa,Innamaadhoo
LD0565,Meemu,Uthurugaseveli
LD0566,Laamu,Uvadhevifushi
LD0567,Noonu,In'guraidhoo
LD0568,Haa Alifu,Dhihdhoo
LD0569,Seenu,Boduhajaraa
LD0570,Gaafu Dhaalu,Kalhehamalaa
LD0571,Dhaalu,Hinaidhoo
LD0572,Gaafu Dhaalu,Faresmaathodaa
LD0573,Raa,Maduvvari
LD0574,Alifu Alifu,Madivaru
LD0575,Gaafu Dhaalu,Kadevaarehaa
LD0576,Lhaviyani,Govvaafushi
LD0577,Kaafu,Gulhi
LD0578,Gaafu Dhaalu,Maallaarehaa
LD0579,Alifu Dhaalu, 
LD0580,Raa,Lin'boakandhoo
LD0581,Alifu Dhaalu,Kudarah
LD0583,Alifu Dhaalu,Bulhalhohi
LD0584,Kaafu, 
LD0585,Raa,Huruvalhi
LD0586,Gaafu Dhaalu,Vatavarrehaa
LD0587,Meemu, 
LD0588,Raa,Alifushi
LD0589,Baa,Ufuligiri
LD0590,Gaafu Alifu,Baaberehutta
LD0591,MLE,Hulhumaale
LD0592,Laamu,Kanuhuraa
LD0593,Haa Alifu,Van'gaaru
LD0594,Baa,Gaagan'dufaruhuraa
LD0595,Gaafu Alifu,Kalhehuttaa
LD0596,Thaa,Bodufinolhu
LD0597,Kaafu,Bolifushi
LD0598,Gaafu Dhaalu,Kannigilla
LD0599,Laamu,Bodumahigulhi
LD0600,Raa,Hulhudhuffaaru
LD0601,Baa,Hanifaru
LD0603,Raa,Mullaafushi
LD0604,Vaavu,Kuda Anbaraa
LD0605,Raa,Meedhoo
LD0606,Faafu,Bileiydhoo
LD0607,Gaafu Dhaalu,Kaashidhoo
LD0608,Baa,Thiladhoo
LD0609,Raa,Vaadhoo
LD0610,Alifu Dhaalu,Vakarufalhi
LD0611,Haa Alifu,Maafahi
LD0612,Raa,Hulhudhoo
LD0613,Gaafu Alifu,Funadhoo
LD0614,Thaa,Gaathurehaa
LD0615,Gaafu Dhaalu,Maahutigalaa
LD0616,Noonu,Kalaidhoo
LD0617,Baa,Maamaduvvari
LD0618,Gaafu Alifu,Han'dahaa
LD0619,Noonu,Dhonaerikan'doodhoo
LD0620,Noonu,Huivani
LD0622,Thaa,Kudakaaddoo
LD0623,Dhaalu,Aluvifushi
LD0624,Kaafu,Erruhhuraa
LD0625,Meemu, 
LD0626,Lhaviyani,Sehlhifushi
LD0627,Thaa,Madifushi
LD0628,Laamu,Vadinolhu
LD0629,Shaviyani,Fushifaru
LD0630,Gaafu Dhaalu,Rathafandhoo
LD0631,Gaafu Alifu,Kudalafari
LD0632,Raa,Bodufenmaaen'boodhoo
LD0633,Kaafu,Mahaanaelhihuraa
LD0634,Laamu,Thathunrahaa
LD0635,Gaafu Dhaalu,Maguhdhuvaa
LD0636,Dhaalu,Lhohi
LD0637,Baa,Maalhos
LD0638,Gaafu Dhaalu,Mathihuttaa
LD0639,Noonu,Huvan'dhumaavattaru
LD0640,Seenu,Dhigiheraa
LD0641,Alifu Dhaalu,Kudadhoo
LD0642,Kaafu,Kalhuhuraa
LD0643,Raa,Ehthigili
LD0644,Thaa,Kakolhas
LD0645,Alifu Alifu,Madivarufinolhu
LD0646,Shaviyani,Foakaidhoo
LD0647,Shaviyani,Boduhuraa
LD0648,Kaafu,Eriadhoo
LD0649,Dhaalu,En'boodhoofushi
LD0650,Noonu,Minaavaru
LD0651,Gaafu Dhaalu,Ekelondaa
LD0652,Gaafu Dhaalu,Thinehuttaa
LD0654,Baa,Voavah
LD0655,Shaviyani,Medhurah
LD0656,Kaafu,Kan'duoiygiri
LD0657,Gaafu Alifu, 
LD0658,Haa Dhaalu,Nolhivaramu
LD0659,Meemu,Kekuraalhuveli
LD0660,Baa,Vakkaru
LD0661,Raa,Vilin'gili
LD0662,Dhaalu,Hulhudheli
LD0663,Haa Dhaalu,Dhipparufushi
LD0664,Gaafu Dhaalu,Golhaallaa
LD0665,Kaafu,Kaashidhoo
LD0666,Lhaviyani,Faadhoo
LD0667,Raa,Lhaan'bugali
LD0668,Baa,Kendhoo
LD0671,Laamu,Hulhiyandhoo
LD0672,Baa,Olhugiri
LD0673,Dhaalu,Than'balhaidhoo
LD0674,Shaviyani,Van'garu
LD0675,Raa,Maamunagau
LD0676,Raa,Fasgan'dufaru
LD0677,Baa,Thulhaadhoo
LD0678,Lhaviyani,Maidhoo
LD0679,Raa,Maashigiri
LD0681,Thaa,Hiriyanfushi
LD0682,Vaavu, 
LD0683,Kaafu,Huraa
LD0684,Meemu,Dhihthun'di
LD0685,Gaafu Dhaalu,Kalherehaa
LD0686,Haa Dhaalu,Neykurendhoo
LD0687,Baa,Dhakandhoo
LD0688,Dhaalu,Olhufushi
LD0689,Kaafu,Giraavaru
LD0690,Gaafu Dhaalu,Dhoonirehaa
LD0691,Kaafu, 
LD0692,Gaafu Dhaalu,Kodehutigalaa
LD0693,Gaafu Dhaalu,Olhimuntaa
LD0694,Thaa,Veymandoo
LD0695,Haa Alifu,Maarandhoo
LD0696,Noonu,Tholhendhoo
LD0697,Dhaalu,Thinhuraa
LD0698,Haa Dhaalu,Nellaidhoo
LD0699,Haa Dhaalu,Makunudhoo
LD0701,Haa Alifu,Muraidhoo
LD0702,Seenu,Maahera
LD0703,Laamu,Mahakanfushi
LD0704,Gaafu Dhaalu,Ekurukerataa
LD0705,Gaafu Dhaalu,Rodhavarrehaa
